District name,Fiscal year,County,Operational efficiency peer group,Transportation efficiency peer group,Student achievement peer group,Legislative district(s),District size,Location,Students attending,Number of schools,Instruction,Instruction (peer average),Administration,Plant operations,Food service,Transportation,Student support,Instruction support,Administration cost per pupil,Peer average: Administration cost per pupil,Administration cost per pupil relative to peer average,Students per administrative position,Peer average: Students per administrative position,Overall administration measure relative to peer average,Plant operations cost per square foot,Peer average: Plant operations cost per square foot,Plant operations cost per square foot relative to peer average,Square footage per student,Peer average: Square footage per student,Square footage per student relative to peer average,Overall plant operations measures relative to peer average,Food service cost per meal,Peer average: Food service cost per meal,Food service cost per meal relative to peer average,Overall food service measure relative to peer average,Transportation cost per mile,Peer average: Transportation cost per mile,Transportation cost per mile relative to peer average,Transportation cost per rider,Peer average: Transportation cost per rider,Transportation cost per rider relative to peer average,Overall transportation measures relative to peer average,Instruction,Peer average: Instruction,Administration,Peer average: Administration,Plant operations,Peer average: Plant operations,Food service,Peer average: Food service,Transportation,Peer average: Transportation,Student support,Peer average: Student support,Instruction support,Peer average: Instruction support,Total operational spending per pupil,Peer average: Total operational spending,Land and buildings,Peer average: Land and buildings,Equipment,Peer average: Equipment,Interest,Peer average: Interest,Other,Peer average: Other,Total nonoperational spending per pupil,Peer average total nonoperational spending,Total per pupil spending,Peer average: Total per pupil spending,Math,Peer group: Math,English Language Arts,Peer group: English Language Arts,Science,Peer group: Science,Attendance rate,Peer average: Attendance rate,Graduation rate (FY 2016),Peer average: Graduation rate (FY 2016),Poverty rate (FY 2016),Peer average: Poverty rate (FY 2016),Special education population,Peer average: Special education population,Students per teacher,Peer average: Students per teacher,Average teacher salary,Peer average: Average teacher salary,Average teacher salary amount from Prop 301,Peer average: Average teacher salary amount from Prop 301,Average years of teacher experience,Peer average: Average years of teacher experience,Percent of teachers in first 3 years,Peer average: Percent of teachers in first 3 years,Federal revenues,Peer average: Federal revenues,State revenues,Peer average: State revenues,Local revenues,Peer average: Local revenues,Total revenues per pupil,Peer average: Total revenues per pupil,Equalization formula funding revenues,Peer average: Equalization formula funding revenues,Equalization formula funding amount from Prop 123,Peer average: Equalization formula funding amount from Prop 123,Prop 123 additional funding,Peer average: Prop 123 additional funding,Grant revenues,Peer average: Grant revenues,Donation and tax credit revenues,Peer average: Donation and tax credit revenues,Desegregation revenues,Number of peers receiving desegregation revenues,Small school adjustment revenues,Number of peers receiving small school adjustment revenues,Federal impact aid revenues,Number of peers receiving federal impact aid revenues,Voter-approved levy increase revenues,Number of peers receiving voter-approved levy increase revenues,Overall financial stress level,Change in number of district students (2015 through 2017),Financial stress level for change in number of district students,Spending exceeded operating/capital budgets (2015 through 2017),Financial stress level for spending exceeded operating/capital budgets,Spending increase election results  (2015 through 2017),Financial stress level for spending increase election results,"Operating reserve percentage, Trend (2015 through 2017)","Financial stress level for operating reserve percentage, Trend",Years of capital reserve held (2015 through 2017),Financial stress level for years of capital reserve held,Current financial and internal control status (2015 through 2017),Financial stress level for current financial and internal control status
Crane Elementary School District,2017,Yuma,8,T-1,13,4 and 13,Medium-large,City,"5,958",11,48.8%,51.3%,12.1%,12.9%,8.2%,3.7%,6.3%,8.0%,$822,$974,Very Low,74,68,Very Low,$8.36,$6.31,Very High,105,147,Very Low,High,$2.79,$2.75,Comparable,Comparable,$4.87,$6.81,Very Low,$785,$942,Very Low,Very Low,"$3,318","$4,164",$822,$974,$880,$909,$558,$640,$249,$327,$425,$626,$546,$559,"$6,798","$8,199",$577,$924,$156,$582,$131,$255,$0,$146,$864,"$1,907","$7,662","$10,106",44%,32%,40%,32%,59%,46%,94%,94%,N/A,N/A,25%,25%,10%,12%,19.9,19.1,"$42,344","$43,084","$6,097","$4,885",8.9,8.3,23%,30%,"$1,414","$1,848","$4,838","$3,857","$1,233","$4,627","$7,485","$10,332","$4,973","$5,145",$230,$236,$44,$43,"$1,465","$1,915",$62,$54,$0,4 of 19,$0,0 of 19,$0,0 of 19,$435,19 of 19,Low,Steady,Low,No overspending,Low,No election held,No Measure,"5.4%, Increasing",Low,1 to 3 years,Moderate,Compliant,Low
Creighton Elementary School District,2017,Maricopa,8,T-2,14,"24, 27, and 28",Medium-large,City,"5,996",9,47.5%,51.3%,10.5%,10.0%,10.1%,3.8%,9.4%,8.7%,$910,$974,Low,56,68,Low,$5.49,$6.31,Low,157,147,High,Low,$3.28,$2.75,Very High,Very High,$7.40,$5.31,Very High,"$1,233","$1,178",Comparable,Very High,"$4,125","$4,164",$910,$974,$865,$909,$879,$640,$326,$327,$818,$626,$759,$559,"$8,682","$8,199",$285,$924,$447,$582,$202,$255,$121,$146,"$1,055","$1,907","$9,737","$10,106",24%,29%,24%,27%,35%,40%,95%,94%,N/A,N/A,38%,35%,9%,12%,15.5,18.1,"$40,106","$45,606","$4,903","$5,189",8.2,8.5,31%,32%,"$2,261","$1,848","$4,048","$3,857","$4,055","$4,627","$10,364","$10,332","$4,948","$5,145",$231,$236,$44,$43,"$2,336","$1,915",$63,$54,$0,4 of 19,$0,0 of 19,$0,0 of 19,"$2,144",19 of 19,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"8%, Increasing",Low,More than 3 years,Low,Marginally compliant,Moderate
Crown King Elementary School District,2017,Yavapai,11,N/A,17,1,Very small,Rural,7,1,59.4%,50.5%,16.7%,21.4%,0.0%,0.7%,1.0%,0.8%,"$2,493","$3,137",No Measure,9,32,No Measure,$12.55,$6.96,No Measure,255,412,No Measure,No Measure,N/A,$5.79,No Measure,No Measure,N/A,N/A,No Measure,N/A,N/A,No Measure,No Measure,"$8,879","$8,613","$2,493","$3,137","$3,198","$2,644",$0,"$1,000",$108,$961,$155,$601,$112,$498,"$14,945","$17,454",$443,"$1,161",$20,$735,$0,$31,$0,$90,$463,"$2,017","$15,408","$19,471",Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,N/A,94%,N/A,N/A,N/A,19%,N/A,14%,N/A,13.3,N/A,"$44,961",N/A,"$4,257",N/A,12.6,N/A,11%,"$2,396","$2,908","$1,808","$5,692","$11,538","$13,343","$15,742","$21,943","$6,762","$9,932",$278,$315,$7,$57,"$2,403","$2,701",$189,$184,$0,0 of 54,"$11,661",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"214.8%, Varying",Low,More than 3 years,Low,Not assessed,No Measure
Deer Valley Unified School District,2017,Maricopa,1,T-3,2,"1, 15, 20, and 22",Very large,Suburb,"32,724",38,60.0%,56.4%,9.8%,10.8%,4.1%,4.1%,7.5%,3.7%,$733,$680,High,86,80,High,$5.87,$6.15,Comparable,138,147,Low,Comparable,$2.67,$2.79,Comparable,Comparable,$4.72,$4.28,High,"$1,221","$1,207",Comparable,High,"$4,483","$4,386",$733,$680,$810,$877,$305,$323,$307,$341,$562,$679,$278,$358,"$7,478","$7,644",$735,$651,$300,$393,$185,$223,$266,$209,"$1,486","$1,476","$8,964","$9,120",52%,44%,52%,44%,71%,60%,95%,95%,94%,90%,11%,13%,10%,12%,17.2,18.4,"$45,022","$46,837","$4,874","$6,016",12.3,11.3,16%,18%,$682,$885,"$3,205","$3,394","$4,955","$5,302","$8,842","$9,581","$5,165","$5,387",$234,$241,$45,$46,$705,$901,$84,$98,$0,4 of 10,$0,0 of 10,$0,2 of 10,"$1,721",10 of 10,Moderate,Steady,Low,No overspending,Low,Voter-approved,Low,"2.1%, Varying",High,1 to 3 years,Moderate,Marginally compliant,Moderate
Double Adobe Elementary School District,2017,Cochise,11,T-11,20,14,Very small,Rural,40,1,64.2%,50.5%,15.8%,12.0%,0.0%,2.4%,4.3%,1.3%,"$2,135","$3,137",No Measure,32,32,No Measure,$7.41,$6.96,No Measure,217,412,No Measure,No Measure,N/A,$5.79,No Measure,No Measure,$0.70,$1.87,No Measure,$638,"$1,459",No Measure,No Measure,"$8,646","$8,613","$2,135","$3,137","$1,610","$2,644",$0,"$1,000",$318,$961,$586,$601,$175,$498,"$13,470","$17,454","$1,966","$1,161",$793,$735,$19,$31,$0,$90,"$2,778","$2,017","$16,248","$19,471",36%,25%,41%,26%,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,94%,93%,N/A,N/A,40%,44%,20%,15%,10.1,11.2,"$53,974","$48,132","$6,926","$4,375",14.5,11.5,0%,6%,"$1,021","$2,908","$9,740","$5,692","$4,814","$13,343","$15,575","$21,943","$8,591","$9,932",$309,$315,$49,$57,"$2,926","$2,701",$187,$184,$0,0 of 54,"$3,382",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"2.6%, Decreasing",Moderate,More than 3 years,Low,Not assessed,No Measure
Douglas Unified School District,2017,Cochise,4,T-9,7,14,Medium-large,Town,"3,548",8,49.8%,52.0%,13.5%,11.7%,7.0%,1.9%,8.2%,7.9%,"$1,019",$844,Very High,54,69,Very High,$5.56,$5.36,Comparable,159,190,Very Low,Low,$2.97,$3.00,Comparable,Comparable,$3.01,$2.60,Very High,"$2,181","$1,363",Very High,Very High,"$3,760","$4,032","$1,019",$844,$885,$987,$527,$409,$146,$414,$616,$607,$593,$481,"$7,546","$7,774",$29,$346,$265,$390,$87,$164,$14,$77,$395,$977,"$7,941","$8,751",21%,18%,24%,17%,26%,25%,97%,92%,84%,79%,49%,43%,NR,12%,20.5,15.3,"$41,553","$48,972","$7,483","$4,489",11.7,12.6,16%,16%,"$1,699","$2,260","$4,872","$4,086","$2,291","$3,104","$8,862","$9,450","$5,156","$5,373",$238,$233,$49,$46,"$1,724","$1,374",$110,$56,$0,1 of 18,$0,0 of 18,$0,7 of 18,$206,14 of 18,Moderate,Moderate decrease,Moderate,Isolated,Moderate,No election held,No Measure,"3.6%, Varying",Low,1 to 3 years,Moderate,Compliant,Low
Duncan Unified School District,2017,Greenlee,6,T-10,4,14,Small,Rural,363,2,47.0%,48.7%,21.4%,14.7%,5.2%,4.9%,3.8%,3.0%,"$2,156","$1,784",Very High,38,44,Very High,$4.24,$4.85,Low,348,348,Comparable,Low,$3.15,$3.70,Low,Low,$1.36,$1.93,Very Low,"$1,107","$1,267",Low,Very Low,"$4,737","$5,470","$2,156","$1,784","$1,478","$1,587",$521,$534,$494,$571,$384,$642,$308,$423,"$10,078","$11,011",$445,$437,$334,$479,$44,$179,$0,$45,$823,"$1,140","$10,901","$12,151",33%,31%,33%,31%,47%,52%,95%,94%,86%,88%,20%,15%,15%,13%,16.3,15.7,"$43,747","$45,360","$7,630","$5,787",9.6,10.4,33%,17%,"$1,779","$2,411",$759,"$3,824","$9,314","$7,054","$11,852","$13,289","$6,151","$7,159",$248,$285,$45,$57,"$1,896","$1,876",$42,$246,$0,0 of 20,$0,4 of 20,$0,5 of 20,"$1,429",15 of 20,Low,Small school adjustment,Low,No overspending,Low,Voter-approved,Low,"8%, Varying",Low,More than 3 years,Low,Compliant,Low
Dysart Unified School District,2017,Maricopa,1,T-4,2,"13, 21, 22, and 29",Very large,Suburb,"23,972",23,56.2%,56.4%,9.0%,11.4%,4.8%,4.9%,9.2%,4.5%,$661,$680,Comparable,86,80,Comparable,$6.07,$6.15,Comparable,137,147,Low,Comparable,$2.85,$2.79,Comparable,Comparable,$4.52,$3.61,Very High,"$1,550","$1,278",Very High,Very High,"$4,106","$4,386",$661,$680,$831,$877,$353,$323,$355,$341,$670,$679,$326,$358,"$7,302","$7,644",$137,$651,$500,$393,$205,$223,$89,$209,$931,"$1,476","$8,233","$9,120",36%,44%,38%,44%,49%,60%,95%,95%,91%,90%,15%,13%,13%,12%,19.7,18.4,"$51,181","$46,837","$6,357","$6,016",9.1,11.3,20%,18%,$762,$885,"$3,903","$3,394","$3,657","$5,302","$8,322","$9,581","$5,247","$5,387",$239,$241,$46,$46,$784,$901,$67,$98,$0,4 of 10,$0,0 of 10,$0,2 of 10,"$1,393",10 of 10,Low,Large decrease,High,No overspending,Low,Voter-approved,Low,"5.6%, Increasing",Low,More than 3 years,Low,Compliant,Low
Elfrida Elementary School District,2017,Cochise,11,T-11,18,14,Very small,Rural,112,1,52.0%,50.5%,14.2%,13.9%,8.4%,5.7%,3.5%,2.3%,"$1,479","$3,137",No Measure,28,32,No Measure,$5.40,$6.96,No Measure,266,412,No Measure,No Measure,$5.24,$5.79,No Measure,No Measure,$2.19,$1.87,No Measure,"$1,463","$1,459",No Measure,No Measure,"$5,408","$8,613","$1,479","$3,137","$1,439","$2,644",$875,"$1,000",$590,$961,$364,$601,$235,$498,"$10,390","$17,454",$571,"$1,161",$349,$735,$18,$31,$0,$90,$938,"$2,017","$11,328","$19,471",17%,36%,25%,37%,55%,61%,94%,94%,N/A,N/A,23%,26%,20%,14%,14.0,14.6,"$41,162","$49,194","$4,564","$5,175",15.3,14.0,11%,7%,"$1,032","$2,908","$5,863","$5,692","$3,764","$13,343","$10,659","$21,943","$7,185","$9,932",$276,$315,$51,$57,"$1,608","$2,701",$69,$184,$0,0 of 54,"$1,962",44 of 54,$0,5 of 54,$0,7 of 54,High,Small school adjustment,Low,Operating and capital,High,No election held,No Measure,"Frozen taxes, Unfunded",High,1 to 3 years,Moderate,Noncompliant,High
Eloy Elementary School District,2017,Pinal,9,T-6,19,8 and 11,Medium,Rural,836,3,46.9%,50.0%,14.8%,14.5%,7.2%,4.1%,8.4%,4.1%,"$1,350","$1,060",Very High,40,58,Very High,$7.00,$6.71,Comparable,189,153,Very High,High,$3.10,$3.04,Comparable,Comparable,$3.68,$3.94,Low,"$1,181",$728,Very High,Very High,"$4,259","$4,115","$1,350","$1,060","$1,322","$1,004",$653,$571,$373,$427,$760,$528,$370,$463,"$9,087","$8,168","$1,270",$917,$247,$314,$81,$77,$4,$148,"$1,602","$1,456","$10,689","$9,624",22%,35%,18%,36%,32%,52%,94%,93%,N/A,N/A,38%,34%,11%,15%,17.4,14.8,"$41,550","$46,717","$4,329","$4,152",14.1,11.3,16%,16%,"$2,733","$1,753","$6,432","$4,842","$1,666","$2,654","$10,831","$9,249","$5,517","$5,748",$232,$239,$44,$44,"$3,968","$2,064",$18,$69,$0,0 of 10,$0,0 of 10,$0,3 of 10,$683,8 of 10,Moderate,Moderate decrease,Moderate,No overspending,Low,No election held,No Measure,"7.6%, Varying",Low,1 to 3 years,Moderate,Marginally compliant,Moderate
Flagstaff Unified School District,2017,Coconino,2,T-5,2,6 and 7,Large,City,"9,355",15,51.9%,53.2%,9.1%,12.7%,3.4%,5.8%,8.3%,8.8%,$788,$763,Comparable,75,67,Comparable,$6.29,$6.41,Comparable,175,148,Very High,High,$3.19,$2.98,High,High,$3.28,$4.15,Very Low,"$1,487","$1,809",Very Low,Very Low,"$4,505","$4,035",$788,$763,"$1,103",$941,$297,$348,$503,$383,$715,$622,$763,$501,"$8,674","$7,593",$493,$761,$332,$527,$505,$295,$190,$145,"$1,520","$1,728","$10,194","$9,321",30%,44%,32%,44%,54%,60%,93%,95%,86%,90%,16%,13%,14%,12%,16.2,18.4,"$43,134","$46,837","$5,702","$6,016",12.2,11.3,20%,18%,"$1,076",$896,"$2,302","$3,579","$6,870","$4,613","$10,248","$9,088","$5,507","$5,436",$239,$242,$46,$47,"$1,105",$943,$256,$98,$240,3 of 10,$0,0 of 10,$59,2 of 10,"$1,358",10 of 10,Low,Steady,Low,No overspending,Low,No election held,No Measure,"5.3%, Increasing",Low,More than 3 years,Low,Compliant,Low
Florence Unified School District,2017,Pinal,4,T-9,4,8,Large,Rural,"9,119",12,51.9%,52.0%,11.0%,13.2%,5.2%,6.9%,7.5%,4.3%,$781,$844,Low,85,69,Low,$5.44,$5.36,Comparable,173,190,Low,Comparable,$2.80,$3.00,Low,Low,$2.32,$2.60,Low,"$1,113","$1,363",Very Low,Low,"$3,690","$4,032",$781,$844,$941,$987,$369,$409,$494,$414,$535,$607,$305,$481,"$7,115","$7,774",$56,$346,$232,$390,$249,$164,$180,$77,$717,$977,"$7,832","$8,751",25%,31%,28%,31%,45%,52%,93%,94%,85%,88%,17%,15%,14%,13%,19.4,15.7,"$43,611","$45,360","$6,060","$5,787",7.0,10.4,38%,17%,$494,"$2,260","$4,220","$4,086","$2,784","$3,104","$7,498","$9,450","$5,464","$5,373",$243,$233,$40,$46,$555,"$1,374",$48,$56,$0,1 of 18,$0,0 of 18,$0,7 of 18,$488,14 of 18,Low,Increase,Low,No overspending,Low,Mixed election results,Moderate,"2.2%, Varying",Moderate,More than 3 years,Low,Compliant,Low
Flowing Wells Unified School District,2017,Pima,3,T-1,6,"3, 9, and 11",Medium-large,Suburb,"5,378",9,53.8%,53.1%,10.8%,13.8%,5.8%,3.7%,8.2%,3.9%,$828,$837,Comparable,73,69,Comparable,$7.17,$6.01,Very High,147,157,Low,Very High,$2.99,$3.04,Comparable,Comparable,$6.14,$6.81,Low,$951,$942,Comparable,Comparable,"$4,117","$3,991",$828,$837,"$1,054",$965,$444,$324,$283,$433,$629,$640,$291,$338,"$7,646","$7,528",$111,$890,$223,$406,$136,$258,$4,$146,$474,"$1,700","$8,120","$9,228",37%,34%,33%,31%,54%,45%,95%,94%,91%,84%,33%,32%,15%,14%,18.4,16.4,"$44,255","$44,227","$5,055","$5,336",10.2,12.6,31%,17%,"$1,225",$781,"$3,757","$3,243","$3,277","$5,097","$8,259","$9,121","$4,877","$5,442",$227,$240,$46,$47,"$1,301",$866,$118,$157,$0,1 of 15,$0,0 of 15,$0,3 of 15,$892,13 of 15,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"6.2%, Varying",Low,More than 3 years,Low,Compliant,Low
Fountain Hills Unified School District,2017,Maricopa,3,T-3,1,23,Medium,Suburb,"1,447",3,51.1%,53.1%,15.4%,13.2%,2.7%,6.6%,8.7%,2.3%,"$1,273",$837,Very High,57,69,Very High,$3.87,$6.01,Very Low,282,157,Very High,Low,$3.04,$3.04,Comparable,Comparable,$3.57,$4.28,Very Low,"$1,346","$1,207",High,Comparable,"$4,210","$3,991","$1,273",$837,"$1,090",$965,$219,$324,$545,$433,$720,$640,$186,$338,"$8,243","$7,528",$328,$890,"$1,008",$406,$353,$258,$82,$146,"$1,771","$1,700","$10,014","$9,228",50%,59%,47%,57%,58%,75%,94%,95%,NR,93%,8%,7%,9%,11%,16.8,18.3,"$40,527","$44,253","$4,012","$5,557",9.8,11.2,38%,21%,$760,$781,"$2,172","$3,243","$8,411","$5,097","$11,343","$9,121","$5,518","$5,442",$243,$240,$49,$47,$851,$866,$465,$157,$0,1 of 15,$0,0 of 15,$185,3 of 15,"$2,432",13 of 15,Low,Large decrease,High,No overspending,Low,Voter-approved,Low,"7.8%, Increasing",Low,More than 3 years,Low,Compliant,Low
Fowler Elementary School District,2017,Maricopa,8,T-1,14,19,Medium-large,City,"4,501",7,54.4%,51.3%,11.0%,9.3%,8.8%,4.4%,7.9%,4.2%,$873,$974,Low,76,68,Low,$5.88,$6.31,Low,124,147,Very Low,Very Low,$2.85,$2.75,Comparable,Comparable,$6.26,$6.81,Low,"$1,211",$942,Very High,High,"$4,303","$4,164",$873,$974,$732,$909,$695,$640,$351,$327,$622,$626,$333,$559,"$7,909","$8,199",$450,$924,$374,$582,$36,$255,$255,$146,"$1,115","$1,907","$9,024","$10,106",27%,29%,25%,27%,40%,40%,95%,94%,N/A,N/A,35%,35%,11%,12%,18.6,18.1,"$45,563","$45,606","$2,815","$5,189",7.4,8.5,33%,32%,"$1,712","$1,848","$3,776","$3,857","$3,738","$4,627","$9,226","$10,332","$4,922","$5,145",$228,$236,$43,$43,"$1,823","$1,915",$14,$54,$0,4 of 19,$0,0 of 19,$0,0 of 19,"$1,267",19 of 19,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"9.5%, Increasing",Low,More than 3 years,Low,Compliant,Low
Fredonia-Moccasin Unified School District,2017,Coconino,6,T-10,4,5 and 7,Small,Rural,210,2,50.1%,48.7%,16.5%,13.5%,7.1%,5.2%,3.3%,4.3%,"$1,781","$1,784",Comparable,40,44,Comparable,$2.98,$4.85,Very Low,488,348,Very High,Low,$3.40,$3.70,Low,Low,$4.29,$1.93,Very High,"$1,794","$1,267",Very High,Very High,"$5,401","$5,470","$1,781","$1,784","$1,453","$1,587",$768,$534,$564,$571,$350,$642,$468,$423,"$10,785","$11,011",$47,$437,$103,$479,$0,$179,$104,$45,$254,"$1,140","$11,039","$12,151",26%,31%,29%,31%,63%,52%,94%,94%,75%,88%,18%,15%,17%,13%,13.3,15.7,"$45,291","$45,360","$3,898","$5,787",11.3,10.4,20%,17%,"$1,287","$2,411","$3,460","$3,824","$5,877","$7,054","$10,624","$13,289","$7,315","$7,159",$300,$285,$59,$57,"$1,205","$1,876",$69,$246,$0,0 of 20,$588,4 of 20,$265,5 of 20,$0,15 of 20,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"3.4%, Varying",Low,More than 3 years,Low,Marginally compliant,Moderate
Ft. Thomas Unified School District,2017,Graham,6,T-7,6,7 and 14,Small,Rural,586,4,49.6%,48.7%,15.4%,14.4%,6.0%,4.7%,4.4%,5.5%,"$2,241","$1,784",Very High,34,44,Very High,$5.97,$4.85,Very High,353,348,Comparable,Very High,$4.21,$3.70,High,High,$2.80,$2.98,Low,$822,$921,Low,Low,"$7,250","$5,470","$2,241","$1,784","$2,107","$1,587",$878,$534,$690,$571,$646,$642,$793,$423,"$14,605","$11,011",$281,$437,$850,$479,$0,$179,$0,$45,"$1,131","$1,140","$15,736","$12,151",18%,34%,15%,31%,18%,45%,93%,94%,80%,84%,33%,32%,18%,14%,14.3,16.4,"$55,125","$44,227","$4,989","$5,336",9.7,12.6,17%,17%,"$8,596","$2,411","$6,497","$3,824",$617,"$7,054","$15,710","$13,289","$6,238","$7,159",$254,$285,$51,$57,"$3,113","$1,876",$0,$246,$0,0 of 20,$0,4 of 20,"$5,721",5 of 20,$0,15 of 20,Low,Increase,Low,Isolated,Moderate,No election held,No Measure,Impact Aid Fund reserve,Low,More than 3 years,Low,Compliant,Low
Gadsden Elementary School District,2017,Yuma,9,T-6,19,4,Medium-large,Town,"5,121",8,48.8%,50.0%,11.5%,12.1%,8.6%,3.8%,7.4%,7.8%,$847,"$1,060",Very Low,69,58,Very Low,$8.40,$6.71,Very High,106,153,Very Low,High,$2.63,$3.04,Low,Low,$3.66,$3.94,Low,$285,$728,Very Low,Very Low,"$3,590","$4,115",$847,"$1,060",$887,"$1,004",$634,$571,$279,$427,$548,$528,$574,$463,"$7,359","$8,168","$1,445",$917,$195,$314,$74,$77,$9,$148,"$1,723","$1,456","$9,082","$9,624",28%,35%,25%,36%,30%,52%,95%,93%,N/A,N/A,34%,34%,11%,15%,27.2,14.8,"$46,650","$46,717","$4,597","$4,152",8.9,11.3,16%,16%,"$1,893","$1,753","$5,184","$4,842",$841,"$2,654","$7,918","$9,249","$5,084","$5,748",$232,$239,$43,$44,"$1,987","$2,064",$12,$69,$0,0 of 10,$0,0 of 10,$0,3 of 10,$181,8 of 10,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"3.9%, Decreasing",Low,More than 3 years,Low,Compliant,Low
Ganado Unified School District,2017,Apache,5,T-8,7,7,Medium,Rural,"1,369",3,45.3%,50.2%,18.6%,15.7%,5.0%,6.4%,7.2%,1.8%,"$2,685","$1,102",Very High,45,53,Very High,$5.28,$5.20,Comparable,429,263,Very High,High,$3.35,$3.54,Low,Low,$2.28,$2.95,Very Low,NR,"$1,037",NR,No measure,"$6,536","$4,541","$2,685","$1,102","$2,265","$1,289",$720,$396,$931,$488,"$1,046",$632,$257,$346,"$14,440","$8,794","$2,054",$764,$601,$536,$1,$221,$34,$78,"$2,690","$1,599","$17,130","$10,393",12%,18%,12%,17%,24%,25%,93%,92%,79%,79%,45%,43%,7%,12%,13.7,15.3,"$47,480","$48,972","$2,992","$4,489",8.6,12.6,23%,16%,"$10,981","$3,999","$6,649","$4,066","$1,023","$4,210","$18,653","$12,275","$6,400","$5,929",$244,$243,$51,$49,"$2,674","$1,751",$48,$138,$0,1 of 29,$0,0 of 29,"$8,939",14 of 29,$0,20 of 29,Low,Moderate decrease,Moderate,No overspending,Low,No election held,No Measure,"4.8%, Varying",Low,Impact Aid Fund reserve,Low,Marginally compliant,Moderate
Gila Bend Unified School District,2017,Maricopa,6,T-8,5,4,Small,Rural,390,2,41.2%,48.7%,18.9%,20.9%,5.3%,3.6%,6.3%,3.8%,"$2,120","$1,784",Very High,35,44,Very High,$8.28,$4.85,Very High,284,348,Very Low,High,$2.77,$3.70,Very Low,Very Low,$3.30,$2.95,High,"$1,049","$1,037",Comparable,High,"$4,622","$5,470","$2,120","$1,784","$2,352","$1,587",$597,$534,$406,$571,$704,$642,$431,$423,"$11,232","$11,011",$787,$437,$235,$479,$304,$179,$1,$45,"$1,327","$1,140","$12,559","$12,151",10%,31%,11%,31%,23%,44%,91%,93%,70%,85%,26%,24%,13%,13%,17.7,17.0,"$37,012","$44,553","$6,556","$5,512",8.9,12.8,45%,16%,"$2,007","$2,411",$957,"$3,824","$6,981","$7,054","$9,945","$13,289","$6,135","$7,159",$273,$285,$56,$57,"$2,474","$1,876",$47,$246,$0,0 of 20,$0,4 of 20,$301,5 of 20,"$1,266",15 of 20,Low,Small school adjustment,Low,No overspending,Low,Mixed election results,Moderate,"4.1%, Varying",Low,More than 3 years,Low,Compliant,Low
Gilbert Unified School District,2017,Maricopa,1,T-4,1,"12, 16, 17, 25, and 26",Very large,Suburb,"33,808",40,60.1%,56.4%,8.5%,10.5%,3.7%,4.5%,9.6%,3.1%,$628,$680,Low,85,80,Low,$5.46,$6.15,Low,143,147,Comparable,Low,$2.67,$2.79,Comparable,Comparable,$4.02,$3.61,High,"$1,246","$1,278",Comparable,Comparable,"$4,465","$4,386",$628,$680,$779,$877,$276,$323,$335,$341,$708,$679,$232,$358,"$7,423","$7,644",$182,$651,$470,$393,$69,$223,$219,$209,$940,"$1,476","$8,363","$9,120",55%,59%,52%,57%,67%,75%,96%,95%,93%,93%,8%,7%,11%,11%,17.8,18.3,"$51,125","$44,253","$5,508","$5,557",11.9,11.2,13%,21%,$429,$885,"$3,951","$3,394","$4,340","$5,302","$8,720","$9,581","$5,498","$5,387",$245,$241,$47,$46,$442,$901,$109,$98,$0,4 of 10,$0,0 of 10,$0,2 of 10,"$1,059",10 of 10,Moderate,Moderate decrease,Moderate,No overspending,Low,Voter-approved,Low,"3.1%, Decreasing",Moderate,1 to 3 years,Moderate,Marginally compliant,Moderate
Glendale Elementary School District,2017,Maricopa,7,T-1,14,"20, 29, and 30",Large,City,"12,535",17,52.5%,54.1%,10.8%,10.3%,8.1%,2.9%,7.9%,7.5%,$808,$796,Comparable,74,75,Comparable,$6.86,$6.23,High,112,135,Very Low,Comparable,$2.74,$2.77,Comparable,Comparable,$6.68,$6.81,Comparable,$825,$942,Low,Low,"$3,943","$4,304",$808,$796,$769,$837,$611,$566,$221,$303,$596,$671,$560,$511,"$7,508","$7,988",$452,$499,$394,$357,$94,$361,$57,$168,$997,"$1,385","$8,505","$9,373",31%,29%,26%,27%,42%,40%,94%,94%,N/A,N/A,36%,35%,11%,12%,18.5,18.1,"$41,254","$45,606","$5,091","$5,189",8.1,8.5,37%,32%,"$1,639","$1,522","$4,858","$4,236","$1,782","$3,488","$8,279","$9,246","$5,076","$5,133",$237,$235,$44,$44,"$1,796","$1,543",$14,$45,$0,4 of 10,$0,0 of 10,$0,2 of 10,$896,10 of 10,Low,Moderate decrease,Moderate,No overspending,Low,No election held,No Measure,"4.5%, Increasing",Low,More than 3 years,Low,Compliant,Low
